timestamp,recv_fps,det_fps,cpu_util,gpu_util
2026-07-05 11:23:25,0.0,0.0,42.5,0.0
2026-07-05 11:23:26,0.0,0.0,48.8,0.0
2026-07-05 11:23:28,0.0,0.0,64.5,0.0
2026-07-05 11:23:29,0.0,0.0,46.3,0.0
2026-07-05 11:23:29,0.0,0.0,46.0,1.0
2026-07-05 11:23:30,0.0,0.0,36.1,1.0
2026-07-05 11:23:30,0.0,0.0,29.1,0.0
2026-07-05 11:23:31,0.0,0.0,24.4,0.0
2026-07-05 11:23:31,130999.19,15.3,45.1,85.0
2026-07-05 11:23:32,130043.61,19.75,59.6,85.0
2026-07-05 11:23:32,134236.94,19.45,59.9,84.0
2026-07-05 11:23:33,151838.58,20.4,47.8,84.0
2026-07-05 11:23:33,156106.72,19.77,47.8,84.0
2026-07-05 11:23:34,152288.34,20.43,48.6,84.0
2026-07-05 11:23:34,158651.11,19.86,48.8,89.0
2026-07-05 11:23:35,162979.22,20.33,47.7,86.0
2026-07-05 11:23:35,152421.08,20.3,46.2,87.0
2026-07-05 11:23:36,151204.39,20.64,48.0,87.0
2026-07-05 11:23:36,156798.1,20.08,48.5,86.0
2026-07-05 11:23:37,158366.24,20.13,47.1,86.0
2026-07-05 11:23:37,166277.36,19.95,50.2,86.0
2026-07-05 11:23:38,161933.93,19.95,43.3,0.0
2026-07-05 11:23:38,161933.93,19.95,24.1,0.0
2026-07-05 11:23:39,161933.93,19.95,21.4,0.0
2026-07-05 11:23:39,161933.93,19.95,15.0,0.0
2026-07-05 11:23:40,157145.71,20.38,43.7,86.0
2026-07-05 11:23:40,153526.25,21.14,51.1,0.0
2026-07-05 11:23:41,153526.25,21.14,25.2,0.0
2026-07-05 11:23:41,153526.25,21.14,36.1,0.0
2026-07-05 11:23:42,153526.25,21.14,29.1,0.0
2026-07-05 11:23:42,153526.25,21.14,29.0,0.0
2026-07-05 11:23:43,153526.25,21.14,17.1,0.0
2026-07-05 11:23:43,163429.83,21.54,38.2,86.0
2026-07-05 11:23:44,162734.58,21.66,37.2,86.0
2026-07-05 11:23:44,162734.58,21.66,15.4,0.0
2026-07-05 11:23:45,162734.58,21.66,18.5,0.0
2026-07-05 11:23:45,162734.58,21.66,15.8,0.0
2026-07-05 11:23:46,162734.58,21.66,13.8,0.0
2026-07-05 11:23:46,162734.58,21.66,12.4,0.0
2026-07-05 11:23:47,160660.05,21.39,34.1,82.0
2026-07-05 11:23:47,158825.51,22.1,41.8,82.0
2026-07-05 11:23:48,158825.51,22.1,16.1,0.0
2026-07-05 11:23:48,203840.16,21.62,28.8,82.0
2026-07-05 11:23:49,185606.28,21.46,38.1,82.0
2026-07-05 11:23:49,185606.28,21.46,14.4,0.0
2026-07-05 11:23:50,185606.28,21.46,19.2,0.0
2026-07-05 11:23:50,185606.28,21.46,15.9,0.0
2026-07-05 11:23:51,177957.03,21.08,30.5,83.0
2026-07-05 11:23:51,156626.28,21.33,49.5,82.0
2026-07-05 11:23:52,154760.73,20.92,41.2,82.0
2026-07-05 11:23:52,154760.73,20.92,17.8,0.0
2026-07-05 11:23:53,154760.73,20.92,20.2,0.0
2026-07-05 11:23:53,154760.73,20.92,11.7,0.0
2026-07-05 11:23:54,154760.73,20.92,14.8,0.0
2026-07-05 11:23:54,154760.73,20.92,28.4,2.0
2026-07-05 11:23:55,170983.64,21.68,46.3,80.0
2026-07-05 11:23:55,169906.39,22.1,31.2,80.0
2026-07-05 11:23:56,169906.39,22.1,15.6,0.0
2026-07-05 11:23:56,158820.42,21.79,43.7,87.0
2026-07-05 11:23:57,153930.27,21.54,44.5,87.0
2026-07-05 11:23:57,153930.27,21.54,14.2,0.0
2026-07-05 11:23:58,153930.27,21.54,18.9,0.0
2026-07-05 11:23:58,153930.27,21.54,13.2,0.0
2026-07-05 11:23:59,153120.12,21.51,40.5,84.0
2026-07-05 11:23:59,154513.5,21.05,44.0,84.0
2026-07-05 11:24:00,154513.5,20.91,24.2,0.0
2026-07-05 11:24:00,154513.5,20.91,21.1,0.0
2026-07-05 11:24:01,154488.21,21.1,45.5,89.0
2026-07-05 11:24:01,152730.46,21.13,39.2,89.0
2026-07-05 11:24:02,152730.46,21.13,14.9,0.0
2026-07-05 11:24:02,152730.46,21.13,15.8,0.0
2026-07-05 11:24:03,152730.46,21.13,12.6,0.0
2026-07-05 11:24:03,152140.2,21.15,37.3,87.0
2026-07-05 11:24:04,154309.87,21.19,47.5,87.0
2026-07-05 11:24:04,151595.95,20.85,28.2,0.0
2026-07-05 11:24:05,151595.95,20.85,15.8,0.0
2026-07-05 11:24:05,163821.46,21.02,33.2,88.0
2026-07-05 11:24:06,150275.55,22.06,44.1,88.0
2026-07-05 11:24:06,143273.38,21.19,32.3,0.0
2026-07-05 11:24:07,143273.38,21.19,19.1,0.0
2026-07-05 11:24:07,149712.88,21.17,48.6,88.0
2026-07-05 11:24:08,150923.51,20.57,50.5,88.0
2026-07-05 11:24:08,157321.6,20.39,43.2,86.0
2026-07-05 11:24:09,158121.89,20.13,45.7,87.0
2026-07-05 11:24:09,160077.81,19.85,42.8,87.0
2026-07-05 11:24:10,161089.95,19.85,41.1,88.0
2026-07-05 11:24:10,166155.43,19.53,36.1,88.0
2026-07-05 11:24:11,160058.47,19.68,25.6,28.0
2026-07-05 11:24:11,152938.03,20.19,49.6,28.0
2026-07-05 11:24:12,152098.08,19.44,52.0,87.0
2026-07-05 11:24:12,159097.11,19.92,39.0,87.0
2026-07-05 11:24:13,168049.58,19.59,41.1,88.0
2026-07-05 11:24:13,160262.33,19.76,41.7,88.0
2026-07-05 11:24:14,162209.71,19.61,45.1,85.0
2026-07-05 11:24:14,164064.44,19.55,27.3,0.0
2026-07-05 11:24:15,164064.44,19.55,24.2,0.0
2026-07-05 11:24:15,164064.44,19.55,13.3,0.0
2026-07-05 11:24:16,164064.44,19.55,15.5,0.0
2026-07-05 11:24:16,164064.44,19.55,12.9,0.0
2026-07-05 11:24:17,164064.44,19.55,13.9,0.0
2026-07-05 11:24:17,164064.44,19.55,11.0,0.0
2026-07-05 11:24:18,164064.44,19.55,12.1,0.0
2026-07-05 11:24:18,164064.44,19.55,14.8,0.0
2026-07-05 11:24:19,164064.44,19.55,11.1,0.0
2026-07-05 11:24:19,158818.78,21.11,40.5,85.0
2026-07-05 11:24:20,156421.18,21.92,53.0,85.0
2026-07-05 11:24:20,157835.19,21.4,32.9,0.0
2026-07-05 11:24:21,157835.19,21.4,21.5,0.0
2026-07-05 11:24:21,157835.19,21.4,15.5,0.0
2026-07-05 11:24:22,156287.98,21.25,35.2,80.0
2026-07-05 11:24:22,158035.14,21.4,41.9,86.0
2026-07-05 11:24:23,155362.96,20.36,43.6,86.0
2026-07-05 11:24:23,154615.58,20.31,28.5,0.0
2026-07-05 11:24:24,154615.58,20.31,17.2,0.0
2026-07-05 11:24:24,154615.58,20.31,14.4,0.0
2026-07-05 11:24:25,154219.22,21.06,39.2,83.0
2026-07-05 11:24:25,157301.21,21.87,53.3,87.0
2026-07-05 11:24:26,151094.0,21.25,46.2,87.0
2026-07-05 11:24:26,155145.88,21.42,39.6,89.0
2026-07-05 11:24:27,155145.88,21.42,16.8,89.0
2026-07-05 11:24:27,155145.88,21.42,16.5,0.0
2026-07-05 11:24:28,155145.88,21.42,14.0,0.0
2026-07-05 11:24:29,148739.72,21.47,36.6,85.0
2026-07-05 11:24:29,154328.63,21.32,45.6,85.0
2026-07-05 11:24:29,146233.01,20.38,46.3,88.0
2026-07-05 11:24:30,143154.27,20.29,42.3,88.0
2026-07-05 11:24:30,151902.56,19.64,41.7,85.0
2026-07-05 11:24:31,151902.56,19.63,20.1,85.0
2026-07-05 11:24:31,151902.56,19.63,15.9,0.0
2026-07-05 11:24:32,151902.56,19.63,19.0,0.0
2026-07-05 11:24:32,156692.46,20.06,38.7,85.0
2026-07-05 11:24:33,155904.55,20.77,48.9,84.0
2026-07-05 11:24:33,154599.4,20.07,43.1,86.0
2026-07-05 11:24:34,156760.68,20.14,40.7,86.0
2026-07-05 11:24:34,156760.68,20.14,12.5,0.0
2026-07-05 11:24:35,156760.68,20.14,17.8,0.0
2026-07-05 11:24:35,152794.94,21.21,34.3,87.0
2026-07-05 11:24:36,151751.89,21.65,46.1,84.0
2026-07-05 11:24:37,147308.15,21.02,42.1,87.0
2026-07-05 11:24:37,146080.46,21.36,41.3,89.0
2026-07-05 11:24:37,149974.56,20.16,47.7,89.0
2026-07-05 11:24:38,149974.56,19.92,23.1,0.0
2026-07-05 11:24:38,149974.56,19.92,16.2,0.0
2026-07-05 11:24:39,157905.79,20.64,45.3,84.0
2026-07-05 11:24:39,156861.47,20.12,49.5,84.0
2026-07-05 11:24:40,154091.48,20.07,46.6,87.0
2026-07-05 11:24:40,160701.01,20.26,37.9,87.0
2026-07-05 11:24:41,160701.01,20.26,15.5,0.0
2026-07-05 11:24:41,160701.01,20.26,22.0,0.0
2026-07-05 11:24:42,162497.42,21.31,49.4,85.0
2026-07-05 11:24:42,158823.78,20.99,45.1,85.0
2026-07-05 11:24:43,158823.78,20.99,15.2,0.0
2026-07-05 11:24:43,176567.85,20.99,26.2,0.0
2026-07-05 11:24:44,165044.0,21.02,46.0,0.0
2026-07-05 11:24:44,160910.73,20.33,43.9,83.0
2026-07-05 11:24:45,160910.73,19.97,18.1,0.0
2026-07-05 11:24:45,160910.73,19.97,20.4,0.0
2026-07-05 11:24:46,160910.73,19.97,15.5,0.0
2026-07-05 11:24:46,160910.73,19.97,12.8,0.0
2026-07-05 11:24:47,160910.73,19.97,13.5,0.0
2026-07-05 11:24:47,160910.73,19.97,9.7,0.0
2026-07-05 11:24:48,160910.73,19.97,15.4,0.0
2026-07-05 11:24:48,160910.73,19.97,15.6,0.0
2026-07-05 11:24:49,160910.73,19.97,14.2,0.0
2026-07-05 11:24:49,160910.73,19.97,15.0,0.0
2026-07-05 11:24:50,160910.73,19.97,11.6,0.0
2026-07-05 11:24:50,160910.73,19.97,16.9,0.0
2026-07-05 11:24:51,160910.73,19.97,14.5,0.0
2026-07-05 11:24:52,160910.73,19.97,13.5,0.0
2026-07-05 11:24:52,160910.73,19.97,19.7,0.0
2026-07-05 11:24:52,160910.73,19.97,17.9,0.0
2026-07-05 11:24:53,160910.73,19.97,19.8,0.0
2026-07-05 11:24:53,160910.73,19.97,24.6,0.0
2026-07-05 11:24:54,160910.73,19.97,25.7,0.0
2026-07-05 11:24:54,153621.87,19.97,48.7,1.0
2026-07-05 11:24:55,144210.58,20.35,57.4,1.0
2026-07-05 11:24:55,140062.94,20.77,54.5,86.0
