Frame,Rebuild_Waterfall(ms),Normalization(ms),RGB_Mapping(ms),Pre_Processing(ms),Inference(ms),Post_Processing(ms),Copy_To_CPU(ms),Drawing(ms),Prefetch_Wait(ms),Submit_Memcpy(ms),Submit_Total(ms),Total_Time(ms)
1,2.468,12.964,0.128,0.331,121.603,0.123,0.315,4.578,0.000,2.489,78.724,221.686
2,0.000,0.000,0.000,0.144,16.549,0.107,0.371,0.376,0.092,0.813,1.551,19.317
3,0.000,0.000,0.000,0.100,12.589,0.100,0.314,0.457,0.061,1.144,1.779,15.493
4,0.000,0.000,0.000,0.074,14.801,0.119,0.330,0.427,0.057,0.874,1.348,17.240
5,0.000,0.000,0.000,0.087,14.429,0.108,0.142,0.381,0.061,0.832,1.337,16.656
6,0.000,0.000,0.000,0.105,13.013,0.101,0.140,0.377,0.059,0.803,1.462,15.353
7,0.000,0.000,0.000,0.102,12.354,0.089,0.132,0.380,0.055,0.779,1.358,14.568
8,0.000,0.000,0.000,0.073,12.497,0.095,0.129,0.455,0.058,0.828,1.348,14.772
9,0.000,0.000,0.000,0.099,14.967,0.130,0.158,0.326,0.063,1.078,1.781,17.617
10,0.000,0.000,0.000,0.265,12.527,0.051,0.163,0.197,0.067,0.813,1.257,14.689
11,0.000,0.000,0.000,0.101,11.988,0.107,0.139,0.350,0.059,0.786,1.304,14.139
12,0.000,0.000,0.000,0.081,13.159,0.094,0.149,0.365,0.067,1.074,1.655,15.675
13,0.000,0.000,0.000,0.110,12.837,0.099,0.178,0.323,0.058,0.748,1.250,14.943
14,0.000,0.000,0.000,0.077,14.579,0.129,0.162,0.364,0.068,0.938,1.473,16.946
15,0.000,0.000,0.000,0.076,13.332,0.096,0.126,0.356,0.078,0.767,1.299,15.522
16,0.000,0.000,0.000,0.089,12.034,0.090,0.142,0.433,0.216,1.182,1.895,15.061
17,0.000,0.000,0.000,0.078,12.583,0.095,0.134,0.368,0.055,0.898,1.384,14.845
18,0.000,0.000,0.000,0.075,12.456,0.083,0.168,0.300,0.058,1.079,1.592,14.812
19,0.000,0.000,0.000,0.079,12.650,0.102,0.139,0.339,0.053,0.714,1.205,14.647
20,0.000,0.000,0.000,0.092,12.431,0.087,0.124,0.399,0.064,0.857,1.391,14.691
21,0.000,0.000,0.000,0.119,12.979,0.093,0.130,0.393,0.067,0.783,1.465,15.427
22,0.000,0.000,0.000,0.220,12.998,0.090,0.130,0.318,0.091,1.140,2.094,16.064
23,0.000,0.000,0.000,0.132,12.446,0.093,0.137,0.412,0.061,0.954,1.500,14.869
24,0.000,0.000,0.000,0.186,13.527,0.051,0.226,0.207,0.083,1.190,1.980,16.377
25,0.000,0.000,0.000,0.081,15.007,0.095,0.128,0.347,0.059,0.878,1.401,17.286
26,0.000,0.000,0.000,0.076,14.118,0.082,0.119,0.255,0.071,1.063,1.541,16.360
27,0.000,0.000,0.000,0.104,15.764,0.159,0.178,0.393,0.062,1.074,1.907,18.676
28,0.000,0.000,0.000,0.228,15.071,0.103,0.135,0.270,0.086,1.111,1.677,17.749
29,0.000,0.000,0.000,0.119,14.757,0.101,0.136,0.362,0.058,1.004,1.513,17.134
30,0.000,0.000,0.000,0.106,13.888,0.150,0.140,0.345,0.081,1.234,1.980,16.809
31,0.000,0.000,0.000,0.074,14.416,0.104,0.138,0.446,0.061,0.815,1.328,16.658
32,0.000,0.000,0.000,0.083,13.529,0.106,0.158,0.352,0.058,0.876,1.379,15.752
33,0.000,0.000,0.000,0.108,15.257,0.133,0.171,0.595,0.069,0.960,1.795,18.322
34,0.000,0.000,0.000,0.081,15.564,0.153,0.188,0.435,0.059,0.839,1.387,18.148
35,0.000,0.000,0.000,0.082,14.886,0.110,0.148,0.348,0.108,0.766,1.285,17.138
36,0.000,0.000,0.000,0.103,13.408,0.101,0.144,0.343,0.067,1.083,1.824,16.083
37,0.000,0.000,0.000,0.077,13.369,0.076,0.129,0.354,0.055,0.899,1.395,15.539
38,0.000,0.000,0.000,0.090,14.042,0.109,0.135,0.394,0.125,1.005,1.768,16.833
39,0.000,0.000,0.000,0.127,13.595,0.124,0.192,0.399,0.062,1.116,1.645,16.264
40,0.000,0.000,0.000,0.103,15.422,0.185,0.196,0.413,0.089,1.228,1.901,18.422
41,0.000,0.000,0.000,0.078,13.593,0.092,0.131,0.372,0.169,1.327,2.054,16.617
42,0.000,0.000,0.000,0.074,16.346,0.123,0.175,0.438,0.078,1.457,2.153,19.494
43,0.000,0.000,0.000,0.107,14.166,0.147,0.195,0.398,0.089,1.427,2.043,17.350
44,0.000,0.000,0.000,0.176,13.804,0.083,0.127,0.240,0.066,1.167,1.763,16.432
45,0.000,0.000,0.000,0.092,13.466,0.085,0.145,0.386,0.057,1.133,1.581,15.892
46,0.000,0.000,0.000,0.155,16.734,0.116,0.150,0.366,0.061,1.432,2.128,19.816
47,0.000,0.000,0.000,0.086,13.163,0.112,0.162,0.423,0.112,0.893,1.746,15.950
48,0.000,0.000,0.000,0.081,12.659,0.108,0.148,0.372,0.063,0.876,1.484,15.009
49,0.000,0.000,0.000,0.114,13.471,0.111,0.140,0.340,0.092,0.915,1.438,15.807
50,0.000,0.000,0.000,0.082,12.558,0.180,0.174,0.409,0.062,0.849,1.368,14.925
51,0.000,0.000,0.000,0.109,12.454,0.090,0.227,0.356,0.062,0.813,1.339,14.722
52,0.000,0.000,0.000,0.086,13.294,0.090,0.132,0.342,0.064,0.806,1.326,15.431
53,0.000,0.000,0.000,0.082,12.360,0.087,0.128,0.385,0.066,0.887,1.386,14.639
54,0.000,0.000,0.000,0.154,14.316,0.145,0.178,0.623,0.059,0.907,1.454,17.012
55,0.000,0.000,0.000,0.087,11.994,0.082,0.121,0.300,0.076,1.074,1.636,14.433
56,0.000,0.000,0.000,0.082,11.891,0.074,0.131,0.224,0.046,0.821,1.297,13.816
57,0.000,0.000,0.000,0.130,12.872,0.087,0.137,0.248,0.113,0.820,1.642,15.461
58,0.000,0.000,0.000,0.065,12.651,0.083,0.137,0.232,0.057,0.819,1.258,14.558
59,0.000,0.000,0.000,0.080,12.415,0.086,0.133,0.317,0.071,1.237,2.200,15.424
60,0.000,0.000,0.000,0.103,12.711,0.090,0.132,0.305,0.059,0.821,1.338,14.853
61,0.000,0.000,0.000,0.183,14.170,0.122,0.166,0.294,0.072,1.313,1.896,17.065
62,0.000,0.000,0.000,0.076,12.409,0.085,0.127,0.294,0.078,1.097,1.607,14.838
63,0.000,0.000,0.000,0.069,14.059,0.139,0.189,0.291,0.052,0.781,1.223,16.105
64,0.000,0.000,0.000,0.101,12.404,0.095,0.133,0.250,0.065,0.859,1.453,14.667
65,0.000,0.000,0.000,0.073,12.458,0.092,0.139,0.300,0.058,0.823,1.348,14.569
66,0.000,0.000,0.000,0.074,13.294,0.092,0.132,0.387,0.061,0.893,1.395,15.521
67,0.000,0.000,0.000,0.106,12.379,0.043,0.154,0.205,0.060,1.275,1.802,14.845
68,0.000,0.000,0.000,0.102,15.243,0.137,0.343,0.396,0.057,1.318,2.162,18.577
69,0.000,0.000,0.000,0.182,12.927,0.124,0.146,0.372,0.061,0.853,1.400,15.382
