timestamp,recv_fps,det_fps,cpu_util,gpu_util
2026-06-02 14:36:11,0.0,0.0,23.1,0.0
2026-06-02 14:36:11,0.0,0.0,20.1,0.0
2026-06-02 14:36:12,0.0,0.0,35.6,0.0
2026-06-02 14:36:12,0.0,0.0,19.9,0.0
2026-06-02 14:36:13,0.0,0.0,36.8,0.0
2026-06-02 14:36:13,0.0,0.0,26.6,0.0
2026-06-02 14:36:14,0.0,0.0,19.9,0.0
2026-06-02 14:36:14,0.0,0.0,31.9,0.0
2026-06-02 14:36:15,0.0,0.0,33.3,0.0
2026-06-02 14:36:15,0.0,0.0,17.0,3.0
2026-06-02 14:36:16,0.0,0.0,17.7,2.0
2026-06-02 14:36:16,0.0,0.0,17.2,2.0
2026-06-02 14:36:17,100024.91,43.69,23.0,22.0
2026-06-02 14:36:17,116998.38,63.28,49.3,53.0
2026-06-02 14:36:18,134123.93,58.89,37.3,53.0
2026-06-02 14:36:18,139048.08,64.68,34.9,56.0
2026-06-02 14:36:19,139559.26,64.37,38.0,58.0
2026-06-02 14:36:19,141497.87,65.13,35.2,58.0
2026-06-02 14:36:20,140149.32,62.87,41.2,56.0
2026-06-02 14:36:20,140426.39,66.99,33.6,64.0
2026-06-02 14:36:21,138559.68,66.77,37.0,64.0
2026-06-02 14:36:21,140250.65,66.17,37.5,62.0
2026-06-02 14:36:22,134161.93,67.53,34.7,62.0
2026-06-02 14:36:22,128251.29,67.31,36.0,63.0
2026-06-02 14:36:23,124404.81,66.28,37.6,63.0
2026-06-02 14:36:23,120214.85,66.89,38.8,63.0
2026-06-02 14:36:24,122665.76,62.29,35.7,60.0
2026-06-02 14:36:24,123150.63,60.85,38.3,60.0
2026-06-02 14:36:25,123762.81,61.44,38.6,63.0
2026-06-02 14:36:25,123307.9,55.7,35.4,63.0
2026-06-02 14:36:26,121866.98,56.56,38.8,55.0
2026-06-02 14:36:26,122624.18,56.72,37.5,55.0
2026-06-02 14:36:27,126598.42,55.54,36.2,64.0
2026-06-02 14:36:27,129983.46,54.94,23.5,64.0
2026-06-02 14:36:28,129983.46,54.94,6.9,0.0
2026-06-02 14:36:28,129983.46,54.94,20.9,0.0
2026-06-02 14:36:29,129983.46,54.94,18.3,0.0
